"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.49829238337508e-07,0.881588781053943,0.329,0.178,0.00672768210450822,"0","SEC61A1"
7.0296395657891e-07,0.980120506606144,0.3,0.156,0.00727778584246146,"0","CTSH"
7.11371348196208e-07,0.740149944033718,0.343,0.183,0.00736482756787534,"0","SPTBN1"
8.20609044177539e-07,0.707974683254589,0.286,0.137,0.00849576543437006,"0","PPIB"
8.33618965774432e-07,0.837780510511813,0.332,0.179,0.0086304571526627,"0","MRPL41"
8.86985862631575e-07,0.803556339793572,0.275,0.132,0.0091829646358247,"0","GDF15"
1.02730829206375e-06,0.690708180123318,0.414,0.244,0.010635722747736,"0","EMILIN1"
1.34908810208841e-06,1.00373072178879,0.254,0.122,0.0139671091209213,"0","ATP1A1"
1.5454547799069e-06,0.253414389096244,0.964,0.895,0.0160000933363762,"0","MT2A"
1.57128560929039e-06,0.32820460000992,0.879,0.746,0.0162675199129834,"0","SAA2"
1.68888543974919e-06,1.024619966773,0.257,0.127,0.0174850309577234,"0","FBP1"
1.72308752613971e-06,0.894019350060178,0.268,0.132,0.0178391251581244,"0","ISG15"
1.81045542270185e-06,0.400728985496899,0.821,0.675,0.0187436449912322,"0","HP"
1.85989998075476e-06,0.502893019785117,0.436,0.254,0.019255544500754,"0","CUTA"
1.88146042411553e-06,0.309773894602733,0.839,0.636,0.019478759770868,"0","CES1"
1.98150526168237e-06,0.683817095519476,0.286,0.142,0.0205145239741976,"0","MYO1C"
2.42171479096102e-06,0.361915543938142,0.693,0.506,0.0250720132308194,"0","HPD"
2.7755960977027e-06,0.605979412959401,0.325,0.173,0.028735746399516,"0","ADH1C"
2.8139524764585e-06,0.349300095583429,0.711,0.518,0.0291328499887748,"0","SQSTM1"
3.09283396432281e-06,0.755803208345204,0.314,0.171,0.032020110032634,"0","ACAA1"
3.27947100211455e-06,0.49276880251141,0.596,0.431,0.0339523632848919,"0","ORM2"
3.56460180718173e-06,0.494493482980871,0.468,0.293,0.0369043225097524,"0","CYP2E1"
3.65721888192589e-06,0.401457896222226,0.546,0.36,0.0378631870845788,"0","ITIH4"
3.67997103249084e-06,0.512853048554742,0.525,0.33,0.0380987400993776,"0","DCXR"
4.0804994120024e-06,0.380658436189873,0.436,0.25,0.0422454104124609,"0","EIF3K"
4.83706158498121e-06,0.428992892078095,0.382,0.215,0.0500780985893105,"0","RPN2"
5.61603990141695e-06,0.860500587011897,0.25,0.124,0.0581428610993697,"0","PCBD1"
5.63815736552552e-06,0.648479944734021,0.325,0.179,0.0583718432052857,"0","H1FX"
5.88855216307301e-06,0.474802255981961,0.404,0.235,0.0609641805442949,"0","NEDD8"
6.18760566408208e-06,0.923925967153531,0.257,0.132,0.0640602814402418,"0","F10"
6.95480316155815e-06,0.753296352734629,0.361,0.217,0.0720030771316116,"0","EVL"
7.09516147798634e-06,0.752155431330059,0.268,0.139,0.0734562067815926,"0","MPST"
7.3861486875301e-06,0.833108934512653,0.282,0.152,0.0764687973619991,"0","AURKAIP1"
8.31483208240492e-06,0.540763084124249,0.693,0.574,0.0860834565491382,"0","TIMP1"
8.67896174894947e-06,0.397721593878436,0.561,0.379,0.0898532909868739,"0","P4HB"
8.9743837620149e-06,0.84711837509115,0.254,0.13,0.0929117950881403,"0","RBIS"
9.08032744393103e-06,0.375493086989176,0.539,0.338,0.0940086300270179,"0","ATP5F1B"
9.47075785488571e-06,0.735942785984361,0.325,0.186,0.0980507560716317,"0","ERGIC3"
1.08412692472158e-05,0.798447545753697,0.314,0.181,0.112239660516426,"0","AGXT"
1.09888669965909e-05,0.849925385709754,0.25,0.129,0.113767740015706,"0","PECAM1"
1.38137091877375e-05,0.749108555771195,0.279,0.151,0.143013331220646,"0","FAH"
1.69383952404437e-05,0.684816614851862,0.346,0.208,0.175363205924314,"0","GADD45GIP1"
1.75089067274401e-05,0.786682521229175,0.271,0.147,0.181269711349188,"0","SEM1"
1.84980085782923e-05,0.843266049595543,0.264,0.142,0.19150988281106,"0","TCF25"
1.86848864467191e-05,0.28757572376436,0.871,0.794,0.193444629382882,"0","FGA"
1.99120070347817e-05,0.285682643696284,0.739,0.56,0.206149008831095,"0","GAPDH"
2.24493350968984e-05,0.683100014615559,0.279,0.151,0.232417966258189,"0","F9"
2.27526314294838e-05,0.381407693563706,0.521,0.343,0.235557993189446,"0","C1R"
2.38726222783642e-05,0.544944267524272,0.471,0.311,0.247153258447904,"0","MYL9"
2.39996867420155e-05,0.665917704828009,0.35,0.212,0.248468756840087,"0","ASL"
2.48690665441745e-05,0.814696897398772,0.257,0.139,0.257469445931838,"0","RBX1"
2.77672933843757e-05,0.592304476062324,0.429,0.277,0.287474788408442,"0","IGFBP4"
2.77703325782324e-05,0.798577232035495,0.268,0.147,0.28750625318244,"0","TSC22D3"
2.78914286460265e-05,0.331487895478349,0.479,0.301,0.288759960772312,"0","CYP2C9"
2.86663740967037e-05,0.334506718594678,0.718,0.557,0.296782971023174,"0","CFB"
3.02743594327307e-05,0.402826677198611,0.361,0.21,0.31343044320706,"0","EIF3G"
3.05215471123832e-05,0.625219098535059,0.382,0.242,0.315989577254503,"0","MT-ND1"
3.0631131809817e-05,0.817864176477455,0.254,0.137,0.317124107627036,"0","CPB2"
3.09311261436848e-05,0.293191010407129,0.518,0.332,0.320229948965569,"0","CEBPD"
3.46499955366204e-05,0.311656120436639,0.464,0.284,0.358731403790631,"0","POR"
3.52693888042766e-05,0.393990648033236,0.5,0.327,0.365143982290675,"0","APOB"
3.58909569886314e-05,0.437104627396411,0.625,0.459,0.371579077703301,"0","ORM1"
4.08529776704191e-05,0.34076570906636,0.689,0.499,0.422950877821849,"0","NNMT"
4.57850186987531e-05,0.820235080940202,0.275,0.157,0.474012298588191,"0","TFF3"
4.66056421118131e-05,0.51494018351003,0.382,0.242,0.482508212783601,"0","LCN2"
4.89196178826497e-05,0.35560955630538,0.746,0.601,0.506464803939072,"0","GPX2"
4.9353627289075e-05,0.626747107547331,0.35,0.215,0.510958103323793,"0","COX7B"
5.6397276613803e-05,0.587405676649485,0.25,0.134,0.583881004782702,"0","SPON2"
5.6573669165535e-05,0.662693803953722,0.332,0.205,0.585707196870784,"0","CXCL12"
5.80812107928297e-05,0.487375543741191,0.261,0.14,0.601314775338166,"0","MGST1"
6.17114452492257e-05,0.6527097153811,0.336,0.206,0.638898592665233,"0","RABAC1"
6.27542821904096e-05,0.365627769545137,0.439,0.281,0.649695083517311,"0","ITIH3"
7.17902055394177e-05,0.618299684595269,0.321,0.195,0.743243997949592,"0","SSR2"
7.69835286876709e-05,0.741447915368134,0.25,0.139,0.797010472503457,"0","OXA1L"
7.78706293115893e-05,0.727234056148433,0.261,0.147,0.806194625262884,"0","SLC3A2"
7.81748434699152e-05,0.615625550296943,0.314,0.19,0.809344154444032,"0","C12orf57"
8.17724838821431e-05,0.758452786759153,0.321,0.203,0.846590525631827,"0","TSPO"
9.07643541722807e-05,0.746525394757193,0.286,0.169,0.939683358745622,"0","PGAM1"
9.6447205031748e-05,0.634601496924369,0.282,0.164,0.998517913693687,"0","FAAP20"
0.00010307143535955,0.452830057141266,0.468,0.325,1,"0","RARRES2"
0.000105248115944162,0.32100245424493,0.675,0.514,1,"0","RPL7"
0.000121671194586982,0.618299684595268,0.275,0.159,1,"0","DBI"
0.000123159150106527,0.550484300367697,0.393,0.255,1,"0","MT1X"
0.000144670121068307,0.355265278761475,0.361,0.217,1,"0","SERPINC1"
0.000167343089022723,0.671411021054831,0.279,0.166,1,"0","GTF2I"
0.00017739712296975,0.681802626901427,0.25,0.142,1,"0","TXNDC17"
0.000179647598277635,0.348378893176235,0.668,0.516,1,"0","AMBP"
0.000188370148389958,0.580231643761749,0.325,0.205,1,"0","ALDH3A2"
0.000249352900804209,0.423375467093736,0.361,0.23,1,"0","PARK7"
0.00028591031047093,0.370621693225619,0.407,0.274,1,"0","PLG"
0.000325534111615108,0.3058457247172,0.711,0.547,1,"0","EEF2"
0.000340386473183384,0.255784185558279,0.529,0.371,1,"0","A1BG"
0.000375061154235315,0.590285308425672,0.321,0.208,1,"0","FAM174C"
0.000386652808717529,0.298640233393683,0.271,0.157,1,"0","YIF1A"
0.000402364217772742,0.309678031282263,0.543,0.394,1,"0","HPX"
0.000410475101509506,0.292378108192391,0.689,0.54,1,"0","FABP1"
0.000455632364434261,0.616597389364268,0.254,0.151,1,"0","SDF4"
0.00046646403771763,0.352238493510308,0.314,0.193,1,"0","FOS"
0.000469557210341706,0.520674799081294,0.279,0.169,1,"0","VAMP8"
0.000486291575026787,0.454498785583693,0.318,0.198,1,"0","CCL19"
0.000490921966514872,0.666100405396971,0.307,0.201,1,"0","HSPD1"
0.000579047240708094,0.266765127622583,0.332,0.206,1,"0","SLC13A5"
0.000675453260609598,0.613784203472776,0.275,0.173,1,"0","OSGIN1"
0.000687094210352442,0.292235815138701,0.464,0.316,1,"0","CRP"
0.000793106092196945,0.648888004428692,0.25,0.154,1,"0","PC"
0.000835360868347084,0.330712044402437,0.425,0.291,1,"0","C9orf16"
0.000983057415964546,0.412150342303125,0.418,0.303,1,"0","TMEM176A"
0.00113520843718985,0.351592739550715,0.325,0.212,1,"0","CRIP2"
0.00128270244482775,0.258003643449569,0.746,0.606,1,"0","ACTG1"
0.00142692808997646,0.526716134434748,0.271,0.174,1,"0","SCP2"
0.00154082377489545,0.572091255172816,0.254,0.161,1,"0","DYNLL1"
0.00170386775103629,0.271433687958004,0.464,0.338,1,"0","PTMA"
0.00176060861915282,0.498947377440534,0.464,0.362,1,"0","TF"
0.00188528058765219,0.574157129352065,0.257,0.166,1,"0","MRPL20"
0.001929777518163,0.298810392624982,0.446,0.327,1,"0","CP"
0.00200258600729971,0.466655962192279,0.364,0.257,1,"0","ATP5ME"
0.00232226739202172,0.504841634811985,0.264,0.171,1,"0","ARPC1B"
0.00299501339069934,0.460451082238681,0.314,0.218,1,"0","GRHPR"
0.00335530000606555,0.377291585091474,0.368,0.262,1,"0","NDUFV1"
0.0041469119514229,0.393758796680244,0.414,0.308,1,"0","LGALS1"
0.0041817193884509,0.284693683999408,0.425,0.321,1,"0","ADH1B"
0.00439540130233609,0.413780506364581,0.25,0.164,1,"0","DPP7"
0.00468617475955438,0.432396184531928,0.346,0.25,1,"0","NDUFB11"
0.00528578941352391,0.338691380828501,0.354,0.254,1,"0","RPL23"
0.00582418439131313,0.288058658735515,0.396,0.291,1,"0","CTSA"
0.00808800263494596,0.416316742073537,0.314,0.227,1,"0","TIMP2"
0.00890523247829395,0.436185274145042,0.25,0.171,1,"0","TUBA1A"
