"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.64931713127423e-18,1.09148708206547,0.886,0.436,1.05185759872152e-13,"2","RPL41"
4.57537162217103e-16,1.09120686548871,0.686,0.272,6.29159351764738e-12,"2","RPL5"
1.18877003574953e-10,1.07085883292056,0.514,0.219,1.63467767615917e-06,"2","RPS20"
3.00081066733287e-12,1.01038366604204,0.629,0.283,4.12641474864942e-08,"2","RPSA"
2.44885802689117e-11,0.999181432398916,0.638,0.314,3.36742467277804e-07,"2","RPL3"
2.81599418766951e-14,0.968560445553221,0.81,0.456,3.87227360746434e-10,"2","RPL13A"
4.49776537843835e-11,0.951234694274845,0.648,0.322,6.18487717189058e-07,"2","EEF1G"
1.94184896480322e-13,0.935385517977175,0.79,0.393,2.67023651150091e-09,"2","RPS8"
1.97046373405057e-10,0.932509119469656,0.59,0.272,2.70958468069294e-06,"2","RPS16"
0.000752354309123097,0.923057488936254,0.257,0.136,1,"2","COX7C"
1.97399933865559e-09,0.913995821818329,0.543,0.253,2.71444649058531e-05,"2","RPL18"
1.31864422905197e-11,0.896096861288952,0.667,0.312,1.81326767936936e-07,"2","RPS11"
2.92969468921417e-06,0.856244828252999,0.381,0.18,0.0402862316713841,"2","RPL24"
1.66346207507341e-07,0.827581070000856,0.524,0.269,0.00228742669943345,"2","RPL15"
1.74603129507595e-05,0.807706434525906,0.343,0.165,0.240096763385894,"2","TXNIP"
9.38220123351793e-08,0.802008257910949,0.543,0.286,0.00129014649162105,"2","RPS14"
1.40192163639643e-09,0.761275229242395,0.695,0.362,1.92778244220874e-05,"2","RPLP2"
8.03746040156581e-11,0.747592000970683,0.705,0.347,1.10523117981932e-06,"2","RPS19"
4.44585167922498e-09,0.722144795010257,0.571,0.261,6.11349064410227e-05,"2","RPL6"
0.000285450544852272,0.712325733979811,0.343,0.188,1,"2","OAZ1"
1.6970999448744e-09,0.709985186670385,0.733,0.4,2.33368213419679e-05,"2","RPL30"
4.9605108982728e-06,0.696453151978883,0.562,0.314,0.0682119853621493,"2","IGHM"
1.96152186855397e-06,0.671142298907189,0.495,0.26,0.0269728872144856,"2","RPL35"
0.000328729546764119,0.670231698177891,0.314,0.165,1,"2","PPIA"
7.05603996615855e-09,0.663522121370291,0.857,0.633,9.70276055746462e-05,"2","CD74"
3.20749812956552e-07,0.661791483885166,0.495,0.234,0.00441063067796555,"2","PTMA"
4.25360876149225e-05,0.640860826015565,0.514,0.317,0.584913740792799,"2","PFN1"
0.0018882294654426,0.638080530221782,0.343,0.206,1,"2","NACA"
1.35187650841248e-05,0.624919282146544,0.505,0.282,0.1858965386718,"2","RPL29"
0.00050719117698892,0.615160315684215,0.305,0.161,1,"2","CD79A"
8.2037915026078e-09,0.611113482621513,0.648,0.313,0.00011281033695236,"2","RPS15"
0.00638743087337527,0.607170613152058,0.257,0.151,1,"2","FXYD5"
6.62663323839134e-05,0.601982470869384,0.333,0.164,0.911228336611193,"2","RPS9"
0.00583857502485145,0.562858314014292,0.257,0.148,1,"2","HLA-DQA1"
0.00189565293928832,0.561593346777714,0.333,0.195,1,"2","EIF1"
5.04917497686424e-07,0.5553110511656,0.638,0.342,0.00694312051068601,"2","RPL8"
0.00239784632212046,0.513846452756376,0.305,0.173,1,"2","CFL1"
0.00288261407742672,0.490361323160903,0.362,0.223,1,"2","RPL10A"
0.00128131460547508,0.487181154763132,0.362,0.211,1,"2","COX4I1"
1.5705188694134e-05,0.463556294207655,0.533,0.287,0.215962049733037,"2","RPL7"
4.71039640025626e-05,0.459110389176463,0.495,0.272,0.647726608999239,"2","RPL36"
0.00550688210835133,0.457319333650475,0.371,0.237,1,"2","ATP5F1E"
0.00389019765305001,0.443343073318146,0.324,0.194,1,"2","CXCR4"
1.05777817396725e-05,0.440422883320426,0.762,0.485,0.145455076702237,"2","RPL13"
6.71286469905742e-06,0.423055674174769,0.886,0.654,0.0923086024767385,"2","B2M"
7.01331067048914e-06,0.364578348794652,0.8,0.498,0.0964400350298961,"2","HLA-B"
0.000165155245906899,0.342439484012832,0.695,0.451,1,"2","RPLP1"
0.000581216620595241,0.34123307963604,0.6,0.387,1,"2","RPL39"
0.00037208465837951,0.305459442849931,0.514,0.307,1,"2","RPL10"
0.00869061695590172,0.274976811089585,0.429,0.276,1,"2","HLA-E"
1.16593839155471e-104,7.88620463300323,0.406,0.001,1.60328188222688e-100,"3","KRT18"
1.32408603705743e-75,7.70563238736141,0.281,0.001,1.82075070955767e-71,"3","AGR2"
1.59999905819942e-66,7.70563238736141,0.25,0.001,2.20015870493003e-62,"3","PDZK1IP1"
1.64781051484447e-66,7.55362929391636,0.25,0.001,2.26590423896263e-62,"3","JPT1"
4.06185552221103e-90,6.38370429247405,0.469,0.006,5.58545752859238e-86,"3","FXYD3"
9.11689775952344e-62,5.57634937041645,0.406,0.009,1.25366461091207e-57,"3","GABRP"
9.78126634121762e-62,5.13577677903047,0.469,0.013,1.34502193458084e-57,"3","LGALS4"
7.67595211713167e-31,5.00519266922032,0.25,0.008,1.05552017562678e-26,"3","ACTN4"
2.03286468573134e-22,4.76221591572778,0.25,0.013,2.79539222934916e-18,"3","KLF5"
2.68617608182761e-25,4.70563238736141,0.25,0.011,3.69376073012115e-21,"3","ATP1B1"
5.52021508055938e-27,4.45770487391783,0.281,0.013,7.5908477572772e-23,"3","TMPRSS4"
5.68338079955593e-26,4.4451048371382,0.281,0.014,7.81521693746936e-22,"3","APOL1"
3.2842070636597e-14,4.25442127552909,0.25,0.024,4.51611313323846e-10,"3","PIGR"
6.09011522531422e-52,4.1613118711376,0.719,0.051,8.37451744632958e-48,"3","KRT19"
9.6938874182555e-20,4.12066988664026,0.25,0.016,1.33300645888431e-15,"3","LDHA"
1.01535798325365e-19,4.09419767527907,0.25,0.016,1.3962187627721e-15,"3","SDC4"
1.02412473629477e-17,3.85318957577527,0.25,0.018,1.40827392487894e-13,"3","CYSTM1"
2.22003499367053e-21,3.7635523632906,0.469,0.056,3.05277011979635e-17,"3","SPINK1"
1.04743311428864e-20,3.71385289416638,0.312,0.024,1.44032527545831e-16,"3","PMEPA1"
1.2455684593622e-18,3.70563238736141,0.281,0.022,1.71278118846896e-14,"3","SPINT2"
4.45996264075045e-16,3.69564829878879,0.25,0.02,6.13289462729594e-12,"3","CXCL17"
2.77409475758081e-14,3.50923517455791,0.25,0.023,3.81465770114937e-10,"3","CST1"
8.99979268427297e-17,3.45770487391783,0.344,0.037,1.23756149201438e-12,"3","IFI27"
4.21487560887885e-17,3.45081848833259,0.312,0.03,5.7958754497693e-13,"3","ATP1A1"
3.53702580023465e-13,3.4243462769714,0.25,0.025,4.86376417790267e-09,"3","MYL12B"
9.14778043780367e-13,3.231701199029,0.25,0.026,1.25791128800238e-08,"3","TSPAN1"
2.55800835019292e-15,3.22842606699614,0.312,0.034,3.51751728235028e-11,"3","ELF3"
3.03547129297736e-23,3.08071776124015,0.719,0.131,4.17407657497316e-19,"3","KRT17"
1.52221465522167e-17,3.06177619758669,0.406,0.049,2.09319737239531e-13,"3","KRT7"
1.19981917851097e-11,3.06177619758669,0.281,0.037,1.64987135237044e-07,"3","TSPAN8"
6.59346337450492e-21,3.05186072872161,0.594,0.094,9.06667148628171e-17,"3","CEACAM6"
3.47597248412146e-27,2.96049286174951,0.719,0.104,4.77980976291542e-23,"3","KRT8"
4.19600735414302e-11,2.78036326243804,0.344,0.057,5.76992971268207e-07,"3","C19orf33"
1.38251431809562e-08,2.75567306986101,0.281,0.05,0.000190109543881329,"3","SNRPC"
3.71839057422248e-08,2.72073927975162,0.25,0.042,0.000511315887861333,"3","SMIM22"
3.96257171896697e-18,2.64120051476642,0.719,0.164,5.44893237075149e-14,"3","CD24"
2.63958974871808e-09,2.63954319690364,0.281,0.046,3.62969986346224e-05,"3","CAP1"
4.26677268538875e-09,2.52120781622399,0.312,0.057,5.86723911967806e-05,"3","CLIC1"
