"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
6.29693869878336e-07,0.705664314559695,0.376,0.222,0.0087691168319257,"3","ATP1A1"
4.54633218443684e-09,0.704393829274106,0.544,0.354,6.33122220004674e-05,"3","CD59"
7.09507883651465e-06,0.703655689047776,0.31,0.182,0.098806067877303,"3","DAD1"
2.59802725275322e-07,0.70164366967628,0.323,0.175,0.00361801275218413,"3","PLXND1"
3.08346484364637e-26,0.698431704747818,0.973,0.861,4.29403314126193e-22,"3","RPL37A"
1.75191110277239e-07,0.696985381384173,0.482,0.317,0.00243971140172084,"3","HSP90B1"
5.76546792183746e-06,0.696777914504464,0.376,0.239,0.0802899062795085,"3","CALM2"
3.92462570791348e-05,0.690868655578596,0.323,0.204,0.546543376084031,"3","TMED2"
3.351359844591e-07,0.689626963541982,0.358,0.204,0.00466710371957743,"3","MARCKS"
4.44045713039935e-08,0.686446399015553,0.381,0.21,0.000618378059979413,"3","ACTN4"
5.87923651669521e-06,0.685118368797657,0.301,0.174,0.0818742477314975,"3","C1QTNF1"
2.69170597281446e-17,0.682568229849102,0.907,0.739,3.74846973774142e-13,"3","RPL39"
7.2090125531829e-08,0.681061325443482,0.518,0.342,0.00100392708815625,"3","TMA7"
4.610945857969e-05,0.680069880846229,0.261,0.153,0.642120320180762,"3","ELOVL1"
0.000167941200886559,0.67860232528981,0.257,0.158,1,"3","PRCP"
7.78301405145243e-09,0.676812366420002,0.535,0.342,0.000108386253680527,"3","SELENOW"
1.59973383188852e-15,0.676649845318002,0.858,0.677,2.22778933428796e-11,"3","NME2"
0.00196720917135766,0.671212766772439,0.27,0.188,1,"3","VCP"
1.22511206213215e-27,0.668039405953869,0.991,0.932,1.70609105772524e-23,"3","RPL41"
7.72347367253353e-07,0.663449366652756,0.429,0.272,0.0107557094363702,"3","SNRPD2"
5.75862798266259e-22,0.660681753021728,0.947,0.809,8.01946532865592e-18,"3","GAPDH"
2.53545322448176e-07,0.65947421543234,0.42,0.253,0.0035308721604133,"3","TMEM258"
0.000131650595458109,0.652064925175639,0.305,0.199,1,"3","COX8A"
1.01304894564576e-20,0.648641657283067,0.96,0.879,1.41077196170628e-16,"3","RPS18"
5.54849983986602e-08,0.64574172135633,0.478,0.3,0.000772684087699742,"3","ROMO1"
1.38609790131451e-06,0.644681881778173,0.407,0.254,0.0193027993737059,"3","NAA38"
0.000931290858612822,0.642948914553717,0.314,0.221,1,"3","KRTCAP2"
5.16619602895357e-13,0.640301258542548,0.827,0.653,7.19444458992074e-09,"3","RPS13"
2.69444206228718e-06,0.63977841409142,0.372,0.225,0.0375228001594112,"3","PEA15"
5.32488685656464e-05,0.635682490460147,0.279,0.166,0.741543743645192,"3","PRNP"
4.35108230232581e-17,0.632749425496286,0.934,0.775,6.05931721421892e-13,"3","RPS28"
7.60186963973887e-15,0.630422183701438,0.894,0.754,1.05863636603004e-10,"3","RPL37"
1.87388801956083e-11,0.626618513342733,0.717,0.502,2.60957645604041e-07,"3","TAGLN2"
0.000505774818587523,0.62654010103174,0.257,0.163,1,"3","TCEAL4"
6.86536860916423e-06,0.621845665568917,0.394,0.253,0.095607123251221,"3","UBL5"
4.3650319427932e-12,0.620769031657462,0.726,0.499,6.07874348353381e-08,"3","ATP5F1E"
9.77317146485579e-05,0.620397229654746,0.403,0.281,1,"3","ANXA6"
0.000455432741194507,0.616644500704595,0.265,0.169,1,"3","PLEC"
4.87506569900905e-16,0.615582293978813,0.889,0.749,6.78901649244e-12,"3","RPS6"
2.21462376253452e-06,0.613980690388457,0.332,0.193,0.0308408505170557,"3","LYZ"
5.26293001796292e-07,0.607113338263376,0.456,0.285,0.00732915634301517,"3","GUK1"
7.80782213742935e-23,0.605634977646359,0.987,0.935,1.08731731085841e-18,"3","RPLP1"
2.90109026420462e-09,0.605262857193198,0.668,0.46,4.04005830193136e-05,"3","RPL6"
2.69210300609199e-05,0.604287294184613,0.283,0.165,0.374902264628371,"3","KLF6"
1.25782556640848e-05,0.604287294184612,0.367,0.23,0.175164788378044,"3","GRINA"
0.00289312988460965,0.602048821988613,0.252,0.173,1,"3","PNRC1"
2.81483274067283e-06,0.601835815190516,0.389,0.239,0.0391993607466099,"3","SEM1"
0.000151446471310745,0.600567408047499,0.292,0.182,1,"3","BST2"
2.4183962942376e-07,0.60055011255282,0.544,0.364,0.00336785867935528,"3","EIF5A"
7.24417426521981e-19,0.599869750419055,0.96,0.86,1.00882370817451e-14,"3","IFITM3"
0.000599349727663749,0.599748134569445,0.257,0.164,1,"3","TNFRSF1B"
5.92939614145664e-09,0.59767355247071,0.456,0.267,8.25727706659251e-05,"3","HLA-DPB1"
9.73473146600052e-13,0.597028540846922,0.832,0.615,1.35565870395523e-08,"3","RPS15A"
0.000212412318566106,0.596335170794219,0.323,0.213,1,"3","RPN1"
2.44683956548121e-12,0.593845547462965,0.752,0.506,3.40746877888913e-08,"3","ANXA2"
0.0048236929843636,0.592807797298894,0.27,0.195,1,"3","COLGALT1"
2.45971721930054e-09,0.592127597023194,0.642,0.448,3.42540219959793e-05,"3","RPL15"
3.4066764983829e-05,0.590908264383413,0.46,0.325,0.474413769164802,"3","EIF1"
3.83274775541098e-18,0.590413409285167,0.96,0.834,5.33748452418534e-14,"3","RPLP2"
1.16301413897479e-06,0.586249734654891,0.363,0.21,0.0161961348993629,"3","HNRNPAB"
3.06528635713391e-05,0.583718454970825,0.345,0.217,0.426871778094468,"3","MRPS21"
0.000102643067890954,0.576806557762505,0.27,0.162,1,"3","SRP72"
1.01864804485048e-13,0.575102943360755,0.912,0.792,1.41856926725878e-09,"3","RPL32"
1.66316503105222e-18,0.574478807440626,0.973,0.876,2.31612362224332e-14,"3","RPS12"
4.19373994622364e-10,0.573778415723467,0.832,0.71,5.84020224911104e-06,"3","RPL26"
0.000311233000582321,0.571865816492235,0.257,0.158,1,"3","SLC44A2"
9.0133173362882e-05,0.570985319033785,0.288,0.176,1,"3","BRI3"
0.000991070901075192,0.569846648855583,0.257,0.166,1,"3","VSIR"
2.30015194676938e-08,0.569490818598804,0.743,0.603,0.000320319160107104,"3","HSPB1"
4.46576769485361e-07,0.56920032836054,0.566,0.398,0.00621902809185313,"3","POLR2L"
2.03356354665697e-10,0.568904775578081,0.743,0.548,2.83194059507449e-06,"3","RPL18"
0.000362901464330035,0.566946382241042,0.301,0.195,1,"3","UBA1"
2.59190804918047e-07,0.566761282909123,0.584,0.407,0.00360949114928872,"3","BSG"
1.40470741067143e-07,0.561862257168475,0.478,0.296,0.00195619554010103,"3","EEF1B2"
2.87584192584801e-06,0.560660361784355,0.42,0.264,0.0400489746593594,"3","SNRPE"
1.03808050231832e-06,0.559893174826159,0.434,0.268,0.0144563090752849,"3","GADD45B"
9.24769433518042e-05,0.558332660838542,0.35,0.231,1,"3","CAP1"
0.000795508435797088,0.557444514473887,0.265,0.172,1,"3","TAF10"
6.00900122118707e-08,0.553213109590343,0.708,0.548,0.000836813510062512,"3","EIF4A1"
9.050858222443e-06,0.552369640866438,0.314,0.182,0.126042251605741,"3","UROS"
0.00205914693039955,0.552369640866438,0.288,0.201,1,"3","FAM50A"
0.00187161303972797,0.551294206570728,0.257,0.172,1,"3","XRCC5"
0.00103155941610033,0.548472998063016,0.27,0.178,1,"3","IRF2BP2"
0.00305926284144457,0.544871929102619,0.292,0.206,1,"3","YWHAG"
5.53643154903548e-06,0.544232949363786,0.456,0.306,0.0771003457518681,"3","NDUFS5"
1.31722330462541e-05,0.537005819638325,0.363,0.222,0.183436517402134,"3","EPAS1"
0.000100537488910402,0.533951597082273,0.518,0.397,1,"3","PARK7"
0.0019074082719937,0.530481895727116,0.257,0.17,1,"3","ECE1"
0.00024669666953722,0.527994621145773,0.292,0.183,1,"3","LRP10"
1.1045955055366e-10,0.526041161527341,0.788,0.631,1.53825970101027e-06,"3","RPS17"
2.09216514560912e-19,0.52547171098446,0.916,0.753,2.91354918177525e-15,"3","FTH1"
0.000197230258443726,0.525174338387086,0.314,0.2,1,"3","YWHAQ"
0.000680821281018591,0.522540934077227,0.27,0.174,1,"3","CDC37"
0.00191080207878415,0.515558375590281,0.257,0.17,1,"3","BHLHE40"
7.10976473361856e-05,0.513575471020704,0.332,0.208,0.99010583680372,"3","PGLS"
1.86109378823309e-05,0.512613738406668,0.367,0.229,0.259175920949341,"3","GLMP"
0.000845857522946541,0.512207425552745,0.389,0.279,1,"3","MALAT1"
0.00644182554341324,0.507686911658245,0.301,0.223,1,"3","SSR1"
1.31415732749942e-11,0.50646605344495,0.925,0.825,1.83009549427569e-07,"3","ACTG1"
1.13603824699239e-10,0.502151700952066,0.81,0.599,1.5820468627616e-06,"3","FAU"
0.00467344862389732,0.501786162157137,0.301,0.218,1,"3","LTBP3"
0.000150336250489019,0.501549188595354,0.296,0.185,1,"3","SERPINB6"
0.000360236676185257,0.498752880012255,0.31,0.204,1,"3","CCT7"
0.000116128999027997,0.497015971854093,0.345,0.223,1,"3","PSMB2"
1.60943499695839e-07,0.494627403359991,0.447,0.275,0.00224129917676425,"3","TYROBP"
2.64085913319933e-05,0.494067024622749,0.54,0.393,0.367766042889339,"3","MT-ND3"
0.000990640506388756,0.492018130725909,0.323,0.221,1,"3","HNRNPK"
2.33549275290609e-08,0.491896056638419,0.801,0.657,0.000325240720769702,"3","RPL9"
9.51029746686272e-13,0.490478173543535,0.96,0.851,1.3244040252353e-08,"3","RPL35"
9.57717376591974e-05,0.490150456273502,0.527,0.406,1,"3","ATP5ME"
1.004611843529e-06,0.489359570216716,0.593,0.422,0.0139902245329848,"3","MYH9"
0.000570958179754069,0.488595852242657,0.288,0.186,1,"3","CHMP2A"
0.00038972579270637,0.482383807605243,0.265,0.166,1,"3","STOML2"
