Feature,Normalized.Dispersion
ENSG00000171729,0.08894097122288719
ENSG00000142621,3.680313046088293
ENSG00000142634,-0.6639831988147378
ENSG00000162438,0.05113787383851025
ENSG00000132906,8.049669552698095
ENSG00000116138,2.687718719175639
ENSG00000272510,nan
ENSG00000116771,0.1304326097851697
ENSG00000197312,0.5584887757957328
ENSG00000116786,-0.5787470504421317
ENSG00000162461,0.33161675589946454
ENSG00000162458,-1.9591247881556024
ENSG00000233954,0.17403722936799979
ENSG00000179743,-3.0695187180331276
ENSG00000065526,0.10831481159403054
ENSG00000116809,1.0390747138653729
ENSG00000173641,-1.201682727140621
ENSG00000184908,nan
ENSG00000142627,-1.0905980762514713
ENSG00000142632,2.0140669374953375
ENSG00000288398,-0.4160058792461461
ENSG00000132881,0.2278003197616079
ENSG00000037637,-0.7172018616905153
ENSG00000055070,-2.3318772844573465
ENSG00000187144,nan
ENSG00000157191,4.162218153524601
ENSG00000226029,nan
ENSG00000261135,-0.10111645186992156
ENSG00000219481,-1.715295140365707
ENSG00000058453,-0.761534398319854
ENSG00000238142,-0.826527561260757
ENSG00000117122,-0.22656358746907224
ENSG00000159363,-0.678065669622154
ENSG00000117118,-1.00785738540242
ENSG00000117115,-0.8677748390334024
ENSG00000142623,0.2914895216565713
ENSG00000159339,-0.7883344657593654
ENSG00000179051,-3.1649435498924796
ENSG00000074964,0.5860122417260437
ENSG00000117154,nan
ENSG00000159423,-0.2327600068586275
ENSG00000169991,-0.19658278275039118
ENSG00000272084,0.7251476753426862
ENSG00000127481,-2.3783200412814014
ENSG00000230424,nan
ENSG00000127463,-1.357254268717263
ENSG00000053372,-1.2153081931090104
ENSG00000162482,-1.029887573883853
ENSG00000053371,0.14455268559172502
ENSG00000040487,0.07858862739653275
ENSG00000077549,3.511075003892592
ENSG00000173436,-2.267599796484134
ENSG00000158747,0.7332097441231649
ENSG00000158748,0.4849711885845611
ENSG00000162542,9.910995990012372
ENSG00000178828,nan
ENSG00000235434,nan
ENSG00000169914,-0.7239154523252133
ENSG00000188257,4.356339781722931
ENSG00000127472,-0.6718004586688517
ENSG00000117215,-0.5843340101101304
ENSG00000227066,nan
ENSG00000225986,1.4311924493117354
ENSG00000162543,nan
ENSG00000162545,2.289583161865458
ENSG00000090432,2.785613827983951
ENSG00000158825,-0.12167732913144225
ENSG00000158828,-0.048069189703340676
ENSG00000117242,nan
ENSG00000244038,0.6396893429488303
ENSG00000117245,-0.7141599980662144
ENSG00000189410,nan
