Feature ID,Feature Name,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000028839,TBPL1,0.011041759581892496,0.12705932601070602,0.22325254567162503,250,0.11514257481832918,224
ENSG00000256771,ZNF253,0.011041131648923596,0.12708813062983615,0.22325688184625864,366,0.16061963910293664,304
ENSG00000174917,MICOS13,0.011039344630491131,0.12776581696420486,0.22432920215048496,682,0.30880996262334565,540
ENSG00000177150,FAM210A,0.011035988851999906,0.1276273748129566,0.22411129079014672,448,0.2086789064396559,389
ENSG00000131408,NR1H2,0.011035805855325402,0.12802251271124443,0.2247353158528099,1487,0.7142195312843006,952
ENSG00000130779,CLIP1,0.011033065078195927,0.12813077248726623,0.22489671143995943,1701,0.8045709245017402,1027
ENSG00000140320,BAHD1,0.011031401381829415,0.1277779347155381,0.22432920215048496,614,0.3035756725565307,496
ENSG00000107821,KAZALD1,0.011030953276907982,0.12467377248979794,0.21990419671161407,79,0.04579405620755365,77
ENSG00000096070,BRPF3,0.011023262588574537,0.12829652168220984,0.2250997856359501,687,0.3168800049033038,543
ENSG00000113312,TTC1,0.011021334733977688,0.12852605260649486,0.22543251561044006,1255,0.5918085960526308,854
ENSG00000155530,LRGUK,0.011012443533249079,0.12751276173301274,0.2239332258567949,203,0.09111308780035751,179
ENSG00000111602,TIMELESS,0.011011574309443162,0.12815974578818667,0.22490635856463276,318,0.1376658003295212,282
ENSG00000130347,RTN4IP1,0.011011410445261341,0.12707993633582637,0.22325688184625864,154,0.0691187710878674,144
ENSG00000175518,UBQLNL,0.011009709556026245,0.12181788504355873,0.21558459530568838,52,0.025107950835219692,51
ENSG00000112234,FBXL4,0.011005537607796288,0.12892075594396424,0.22605465883482984,781,0.38318699697761666,632
ENSG00000175984,DENND2C,0.01100531587436842,0.12527764689132725,0.220808527434823,68,0.029652776070611706,66
ENSG00000178409,BEND3,0.011003794365909784,0.12692801848370272,0.22309119068761102,117,0.05207497950518166,110
ENSG00000179399,GPC5,0.010998374261060245,0.12665009739381827,0.22274126049946005,113,0.0548994961105804,106
ENSG00000110713,NUP98,0.010995702686006699,0.12930836252285638,0.2266639762419879,994,0.4779300390385803,741
ENSG00000152527,PLEKHH2,0.010994892795089875,0.12895460558266714,0.22609062906396468,400,0.1902454046261912,343
ENSG00000132676,DAP3,0.010988945318144107,0.12891730335788676,0.22605465883482984,324,0.15828431660989906,286
ENSG00000187607,ZNF286A,0.010981603320173823,0.12909824479989584,0.22631906135223184,267,0.12648505718408284,240
ENSG00000160294,MCM3AP,0.01097995758591478,0.1299123823397499,0.22762862031708556,1299,0.6109111336242875,883
ENSG00000164219,PGGT1B,0.010977379970644676,0.12989652331318813,0.22762435723532728,959,0.4450106728435134,700
ENSG00000110218,PANX1,0.010975634377503806,0.12935166976070045,0.22669301314067766,311,0.1629394653641649,278
ENSG00000128191,DGCR8,0.010970893975172846,0.13021443893302775,0.2281107251157835,1465,0.6982493254540957,957
ENSG00000112339,HBS1L,0.010950199133991392,0.1309218556553966,0.2291649197059734,2056,0.9722908325825272,1162
ENSG00000119900,OGFRL1,0.010948247750686542,0.1309277982846757,0.2291649197059734,1146,0.561494798180262,814
ENSG00000213920,MDP1,0.010943665261476259,0.13056350541317818,0.2286277288550943,349,0.17108916816003816,317
ENSG00000128536,CDHR3,0.010939665853100272,0.1208400944694552,0.21405696834299248,37,0.016630605828213532,36
ENSG00000047056,WDR37,0.010938223076612616,0.13116490293747662,0.2295385801405841,730,0.3677704121327123,612
ENSG00000138785,INTS12,0.010938032776874882,0.13093786582468825,0.2291649197059734,480,0.2238258174751042,407
ENSG00000163788,SNRK,0.01093595760808783,0.13130365283887535,0.22973396596803847,1302,0.6343860950653107,855
ENSG00000188897,AC099489.1,0.010934065002790741,0.128140983396839,0.22489671143995943,68,0.030660965657876477,67
ENSG00000185899,TAS2R60,0.010932095010184707,0.12439102651131573,0.21947397892318107,44,0.020087681675070454,43
ENSG00000063854,HAGH,0.010931571560140147,0.13147639811797673,0.2300124707142893,1032,0.48231378915789097,766
ENSG00000169189,NSMCE1,0.010927162020538542,0.13128852528105917,0.22973120627671348,473,0.22630997754512416,404
ENSG00000247595,SPTY2D1OS,0.01091981957025199,0.12846296938754231,0.22534518189305663,90,0.04350078936840728,86
ENSG00000198162,MAN1A2,0.010917841951438568,0.13182587264994572,0.23050493449950288,747,0.3584125487937005,596
ENSG00000167384,ZNF180,0.010912248140262567,0.13164925827886576,0.23029111894963786,341,0.1585083295760271,308
ENSG00000254402,LRRC24,0.010908945920112371,0.13092369982505536,0.2291649197059734,185,0.08533732182527443,166
ENSG00000131748,STARD3,0.01090823485117817,0.13217498769219493,0.23104389538441827,938,0.4615175913778283,709
ENSG00000163608,NEPRO,0.01090487621105532,0.1321675359231027,0.23104389538441827,621,0.2933904364820584,495
ENSG00000083067,TRPM3,0.01090060894722515,0.12398918713128082,0.21881052135148693,37,0.020167381058609702,36
ENSG00000197498,RPF2,0.01089800109542011,0.13228614988011023,0.23121436959457617,738,0.3574949809516388,575
ENSG00000120696,KBTBD7,0.01089453482016842,0.13170459962946346,0.23033570323611538,242,0.11320301014366947,215
