Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000240771,ARHGEF25,0.0027566730925163577,-0.7316786549418559,1.0,0.0,-0.1783029022039866,1.0,0.00787900600901352,2.047103178086088,0.9772904435689104
ENSG00000135502,SLC26A10,0.0005513346185032716,-2.731678654941856,0.7327474827915158,0.0,0.4997690029086499,1.0,0.011818509013520278,4.047103178086087,0.18539087575199684
ENSG00000135454,B4GALNT1,0.003859342329522901,0.2683213450581441,1.0,0.0034294276908406695,0.8216970977960143,1.0,0.0,-0.12282182335622505,1.0
ENSG00000135506,OS9,0.15768170089193567,0.1478260528715829,1.0,0.14060653532446746,-0.12137583411915154,1.0,0.14182210816224336,-0.10099546090304656,1.0
ENSG00000257342,AC025165.2,0.0027566730925163577,0.8532838457793002,1.0,0.0,0.23673459707485733,1.0,0.0,0.46214067736493103,1.0
ENSG00000135439,AGAP2,0.01764270779210469,-0.38772425372449515,1.0,0.024005993835884688,0.5737695843524282,1.0,0.019697515022533797,0.31013758391988144,1.0
ENSG00000255737,AGAP2-AS1,0.008821353896052346,0.7708216855873271,1.0,0.0034294276908406695,-0.34822790364629874,1.0,0.00393950300450676,-0.12282182335622505,1.0
ENSG00000135452,TSPAN31,0.02370738859564068,0.027313245554348775,1.0,0.027435421526725356,0.4066595985171695,1.0,0.01575801201802704,-0.3314084451676429,1.0
ENSG00000135446,CDK4,0.04410676948026172,0.14873972930547108,1.0,0.037723704599247364,-0.10113504168152687,1.0,0.03939503004506759,-0.01702715933362864,1.0
ENSG00000139266,MARCH9,0.040798761769242096,-0.14671615422070072,1.0,0.06172969843513205,0.7297746083549743,1.0,0.023637018027040557,-0.6847007109643402,1.0
ENSG00000111012,CYP27B1,0.0033080077110196294,-0.9243237328842522,1.0,0.006858855381681339,1.4066595985171704,1.0,0.00393950300450676,0.877178176643775,1.0
ENSG00000037897,METTL1,0.015437369318091605,0.31894741812811134,1.0,0.010288283072522008,-0.1783029022039866,1.0,0.011818509013520278,0.047103178086087105,1.0
ENSG00000123427,EEF1AKMT3,0.0011026692370065432,-2.731678654941856,0.36045155065214474,0.0,-0.1783029022039866,1.0,0.019697515022533797,4.047103178086088,0.024184248741827896
ENSG00000123297,TSFM,0.029220734780673392,0.7012807523342497,0.9991286584980152,0.017147138454203348,-0.4513213966104024,1.0,0.01575801201802704,-0.5136117763883918,1.0
ENSG00000135407,AVIL,0.0027566730925163577,-0.7316786549418559,1.0,0.006858855381681339,1.8216970977960143,1.0,0.0,0.047103178086087105,1.0
ENSG00000270039,AC025165.5,0.0005513346185032716,-0.7316786549418559,1.0,0.0,1.8216970977960134,1.0,0.0,2.047103178086087,1.0
ENSG00000269903,AC025165.4,0.0005513346185032716,-1.731678654941856,1.0,0.0034294276908406695,2.8216970977960143,1.0,0.0,1.462140677364931,1.0
ENSG00000175215,CTDSP2,0.08986754281603326,0.10231139361921437,1.0,0.06515912612597272,-0.4262304156475718,1.0,0.10242707811717575,0.28629084196551347,1.0
ENSG00000273805,AC083805.3,0.0005513346185032716,-0.7316786549418559,1.0,0.0,1.8216970977960134,1.0,0.0,2.047103178086087,1.0
ENSG00000166896,ATP23,0.009924023133058889,0.5162488585017293,1.0,0.006858855381681339,0.08473150362980775,1.0,0.00393950300450676,-0.3452142446926736,1.0
ENSG00000257698,GIHCG,0.009924023133058889,0.19432076361436668,1.0,0.010288283072522008,0.49976900290865167,1.0,0.00393950300450676,-0.4123284405512102,1.0
ENSG00000139263,LRIG3,0.003859342329522901,0.2683213450581441,1.0,0.0,-0.34822790364629963,1.0,0.00393950300450676,1.047103178086087,1.0
ENSG00000118596,SLC16A7,0.012680696225575246,0.2683213450581441,1.0,0.013717710763362678,0.49976900290865167,1.0,0.00393950300450676,-0.7602517439715175,1.0
ENSG00000198673,TAFA2,0.0016540038555098147,-0.7316786549418559,1.0,0.0034294276908406695,1.8216970977960143,1.0,0.0,0.7251750831987254,1.0
ENSG00000135655,USP15,0.06174947727236642,0.04410618811487854,1.0,0.05487084305345071,-0.10206731637690147,1.0,0.06303204807210816,0.12333876391317311,1.0
ENSG00000061987,MON2,0.05292812337631407,0.01025319211769915,1.0,0.05830027074429138,0.23673459707485733,1.0,0.04333453304957435,-0.2008243353574981,1.0
ENSG00000257354,AC048341.1,0.004410676948026173,-0.5617536534995438,1.0,0.006858855381681339,1.0847315036298077,1.0,0.00393950300450676,0.5876715594487898,1.0
ENSG00000275180,AC048341.2,0.004410676948026173,-0.14671615422069983,1.0,0.0034294276908406695,0.49976900290865167,1.0,0.00393950300450676,0.7251750831987245,1.0
ENSG00000111110,PPM1H,0.0027566730925163577,-0.14671615422069983,1.0,0.0,0.014342175738407903,1.0,0.00393950300450676,1.462140677364931,1.0
