Feature,Normalized.Dispersion
ENSG00000116273,12.85670750882376
ENSG00000041988,-0.7880147024870556
ENSG00000007923,11.004620681002006
ENSG00000237436,-1.8681319814853965
ENSG00000171735,3.3147681287057815
ENSG00000269978,1.150256710695594
ENSG00000049245,-1.0331568588166136
ENSG00000049246,-0.44672692776083706
ENSG00000049247,6.953907621644945
ENSG00000049249,-0.4056262964467632
ENSG00000116288,-0.7262652985561052
ENSG00000284747,2.417250918683329
ENSG00000116285,21.579738163412127
ENSG00000162426,0.7923612125532378
ENSG00000142599,1.607263324045505
ENSG00000232912,-2.2067859034878348
ENSG00000074800,-1.3436480050735655
ENSG00000142583,-1.2162865578853668
ENSG00000180758,1.5653548095122352
ENSG00000228526,0.8937593797632479
ENSG00000234546,1.04614653973714
ENSG00000049239,7.203859076489285
ENSG00000171621,-0.8597305064604396
ENSG00000284652,nan
ENSG00000284693,4.132802878099197
ENSG00000171612,6.647347321675332
ENSG00000188807,-0.4876291058726872
ENSG00000171608,0.06236617855979503
ENSG00000179840,nan
ENSG00000231789,-1.6267417085571247
ENSG00000171603,1.081275431655569
ENSG00000178585,4.008949797905655
ENSG00000162441,-0.8735277993596745
ENSG00000228150,-1.8029037645334072
ENSG00000173614,-0.3797047664301406
ENSG00000162444,49.288265885343485
ENSG00000130939,-0.3399155411351192
ENSG00000054523,-0.5676256723766903
ENSG00000284642,nan
ENSG00000142657,-0.6310134354889094
ENSG00000271989,nan
ENSG00000175279,-1.2505781817587442
ENSG00000241563,-0.6762912118472352
ENSG00000160049,-0.2628828510135609
ENSG00000142655,-0.7457467658579485
ENSG00000130940,-0.9538643528699484
ENSG00000175262,nan
ENSG00000120948,-0.9299061940749174
ENSG00000009724,0.06634777873242102
ENSG00000271895,0.575507002111849
ENSG00000116649,8.753233072062011
ENSG00000171824,5.260052235425831
ENSG00000226849,nan
ENSG00000230337,-0.8906689502913967
ENSG00000198793,6.826412021824653
ENSG00000171819,0.18849936152424393
ENSG00000120942,-1.06024093544329
ENSG00000204624,-0.2619039359942612
ENSG00000284708,nan
ENSG00000116661,-0.4529879421673491
ENSG00000132879,-0.003787577129837561
ENSG00000116663,35.40299491764751
ENSG00000116670,-1.0347287505431404
ENSG00000162490,-0.6696819033684607
ENSG00000177674,0.5580151640853322
ENSG00000215910,-0.5261796586453421
ENSG00000177000,0.5564612591362228
ENSG00000011021,-1.0593953175324673
ENSG00000175206,nan
ENSG00000285646,-0.7833261981994971
ENSG00000116685,1.8911076493336432
ENSG00000083444,0.19894057464587278
ENSG00000116688,0.8038690786256744
ENSG00000116691,-0.5755750323617748
ENSG00000120949,0.6972339501163396
ENSG00000028137,-0.7336315647456125
ENSG00000048707,-0.6602558290434384
ENSG00000229484,0.898232481679312
ENSG00000162496,2.1755127706055624
ENSG00000272482,nan
ENSG00000162493,-0.07609208143374857
ENSG00000116731,46.823440809456834
ENSG00000189337,0.014224442070593138
ENSG00000175147,nan
ENSG00000171729,3.183333599377305
ENSG00000142621,1.1560528633653977
ENSG00000142634,-0.787700356789633
ENSG00000162438,-0.2640774083835835
ENSG00000132906,-0.7728886947483169
ENSG00000116138,91.965869410672
ENSG00000272510,-0.8723982453840541
ENSG00000116771,-0.8587969817798283
ENSG00000197312,-0.9996092061326914
ENSG00000116786,-0.7768190410470763
ENSG00000162461,173.44372360121534
ENSG00000224459,1.331052431611007
ENSG00000162460,-0.5686777730777322
ENSG00000162458,-0.08024711028619935
ENSG00000233954,-0.32606700946158046
ENSG00000179743,-0.42289930330683195
ENSG00000065526,11.6609345234383
ENSG00000116809,-0.756282008891244
ENSG00000173641,-0.3623971938307574
ENSG00000186510,nan
ENSG00000185519,3.0734943005445725
ENSG00000142627,0.7712779879192188
ENSG00000227959,0.031176172504623668
ENSG00000142632,1.5980068817616562
ENSG00000288398,-0.9382777088519624
ENSG00000132881,-0.016201880324225898
ENSG00000037637,-0.6099585305283713
ENSG00000055070,-0.5371560655361276
ENSG00000187144,-1.0263624350917089
ENSG00000157191,20.441414618500367
ENSG00000226029,-0.07545845021263442
ENSG00000261135,1.64244662243426
ENSG00000233421,0.058656445744304175
