Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000072518,MARK2,0.05849812550156309,-0.05239244316587932,1.0,0.06859349538116521,0.3041083360493775,1.0,0.02047788510421962,-1.004315826244568,1.0,0.06240814519698982,0.17433450420446528,1.0
ENSG00000167771,RCOR2,0.0006030734587790009,-0.24083753257898977,1.0,0.0,1.3821108480506492,1.0,0.0,3.5192461298124433,1.0,0.0,2.244723832095864,1.0
ENSG00000110583,NAA40,0.017489130304591025,1.3441249681421672,0.7539721578918537,0.0052764227216280934,-1.032926651228193,1.0,0.01023894255210981,0.47485201045398995,1.0,0.004457724656927844,-0.7996702872625896,1.0
ENSG00000176340,COX8A,0.2213279593718933,0.16378335075451567,1.0,0.168845527092099,-0.3834238983123268,1.0,0.22525673614641584,0.12394484859486221,1.0,0.2318016821602479,0.14609579936814754,1.0
ENSG00000167770,OTUB1,0.2014265352321863,0.18139546810405838,1.0,0.21369512022593778,0.17742042844766148,1.0,0.1945399084900864,0.05981451117514691,1.0,0.10698539176626826,-0.8762915688655024,0.6566826954921284
ENSG00000133315,MACROD1,0.010252248799243014,-0.07091253113667761,1.0,0.013191056804070234,0.6451452538844444,1.0,0.01023894255210981,0.9342836290912873,1.0,0.004457724656927844,-0.3402386686252923,1.0
ENSG00000168439,STIP1,0.07719340272371211,0.015502220680795986,1.0,0.0844227635460495,0.19768627691322305,1.0,0.05119471276054905,-0.36339691954939646,1.0,0.07132359451084551,-0.042852758000721636,1.0
ENSG00000149781,FERMT3,0.09347638611074513,0.09036837589638358,1.0,0.09233739762849164,0.04424120929426678,1.0,0.0921504829689883,0.14073450655871422,1.0,0.07578131916777335,-0.22920735623654886,1.0
ENSG00000149743,TRPT1,0.02653523218627604,0.3441249681421663,1.0,0.021105690886512374,-0.12038949247853292,1.0,0.0,-1.3633969195493973,1.0,0.026746347941567064,0.32415829959026876,1.0
ENSG00000149761,NUDT22,0.04945202361987807,0.004918881822968402,1.0,0.05012601585546689,0.08932909882280526,1.0,0.07167259786476868,0.7378864162877847,1.0,0.035661797255422754,-0.35353549123875005,1.0
ENSG00000110011,DNAJC4,0.1435314831894022,0.016173085627034123,1.0,0.1530162589272147,0.13547088046752487,1.0,0.22525673614641584,0.7390273376923537,1.0,0.08469676848162903,-0.7507606867816436,0.8619019304232619
ENSG00000173511,VEGFB,0.16102061349399324,0.15282631590728712,1.0,0.14510162484477257,-0.10515497878337232,1.0,0.13310625317742755,-0.14913237909634924,1.0,0.14710491367861886,-0.06013074943255736,1.0
ENSG00000173486,FKBP2,0.02231371797482303,1.4221274801434394,0.5237929098392358,0.0,-3.0441539066514487,0.9827819411325717,0.0,-0.9070186248896546,1.0,0.022288623284639222,0.5817588193734347,1.0
ENSG00000173457,PPP1R14B,0.18514355184515327,0.04866908461599495,1.0,0.1978658520610535,0.1462225842299798,1.0,0.2047788510421962,0.22156558117175917,1.0,0.13373173970783533,-0.45571588604522884,1.0
ENSG00000256940,PPP1R14B-AS1,0.0012061469175580018,-0.6558750318578337,1.0,0.0,0.3821108480506492,1.0,0.01023894255210981,3.9342836290912873,1.0,0.0,1.2447238320958638,1.0
ENSG00000149782,PLCB3,0.019298350680928028,0.9962016647218599,0.9118668055007524,0.010552845443256187,-0.42524407400695363,1.0,0.01023894255210981,0.2713186163688581,1.0,0.004457724656927844,-1.0032036813477214,1.0
