Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000230587,LINC02580,0.002764037391746063,-3.575181253536371,1.0,0.0,3.575181253536371,1.0
ENSG00000287387,AC010883.3,0.014825291464819793,-1.2532531586490094,1.0,0.0,1.2532531586490094,1.0
ENSG00000152518,ZFP36L2,0.7141267515765738,-0.14637698921729803,1.0,0.7826561343508334,0.14637698921729803,1.0
ENSG00000234936,AC010883.1,0.003517865771313171,-4.253253158649009,1.0,0.037269339730992064,4.253253158649009,1.0
ENSG00000115970,THADA,0.026132717158326414,-2.445898236591406,1.0,0.11180801919297619,2.445898236591406,1.0
ENSG00000152527,PLEKHH2,0.005528074783492126,-2.636581798200515,1.0,0.0,2.636581798200515,1.0
ENSG00000223658,C1GALT1C1L,0.0005025522530447388,-5.575181253536371,1.0,0.0,5.575181253536371,1.0
ENSG00000138036,DYNC2LI1,0.017338052730043487,-1.0308607373125618,1.0,0.0,1.0308607373125618,1.0
ENSG00000138075,ABCG5,0.04623480728011597,-1.2137247944623728,1.0,0.07453867946198413,1.2137247944623728,1.0
ENSG00000143921,ABCG8,0.0746290095771437,-0.525937734516523,1.0,0.07453867946198413,0.525937734516523,1.0
ENSG00000138095,LRPPRC,0.1253867871346623,0.8056405304045584,1.0,0.037269339730992064,-0.8056405304045584,1.0
ENSG00000273106,AC019129.2,0.0010051045060894776,-4.8382156593701655,1.0,0.0,4.8382156593701655,1.0
ENSG00000138032,PPM1B,0.06281903163059234,-1.1886002003067566,1.0,0.11180801919297619,1.1886002003067566,1.0
ENSG00000138079,SLC3A1,0.0050255225304473876,-2.7678263314787674,1.0,0.0,2.7678263314787674,1.0
ENSG00000138078,PREPL,0.07035731542626343,-0.6106799347577585,1.0,0.07453867946198413,0.6106799347577585,1.0
ENSG00000143919,CAMKMT,0.006784455416103973,-3.352788832199924,1.0,0.037269339730992064,3.352788832199924,1.0
ENSG00000259439,LINC01833,0.0007538283795671081,-5.160143754257527,1.0,0.0,5.160143754257527,1.0
ENSG00000138083,SIX3,0.0002512761265223694,-6.160143754257527,1.0,0.0,6.160143754257527,1.0
ENSG00000068784,SRBD1,0.015327843717864532,-1.2059474438706523,1.0,0.0,1.2059474438706523,1.0
ENSG00000171132,PRKCE,0.007287007669148712,-2.2532531586490094,1.0,0.0,2.2532531586490094,1.0
ENSG00000116016,EPAS1,0.5085828800812756,0.1231227202607289,1.0,0.44723207677190474,-0.1231227202607289,1.0
ENSG00000250565,ATP6V1E2,0.005779350910014496,-2.575181253536372,1.0,0.0,2.575181253536372,1.0
ENSG00000119729,RHOQ,0.12488423488161758,0.2148956770893964,1.0,0.07453867946198413,-0.2148956770893964,1.0
ENSG00000151665,PIGF,0.02512761265223694,-2.08689477222689,1.0,0.07453867946198413,2.08689477222689,1.0
ENSG00000119878,CRIPT,0.058296061353189696,0.7040423903967525,1.0,0.0,-0.7040423903967525,1.0
ENSG00000171150,SOCS5,0.029399306803117215,-0.27750070489568657,1.0,0.0,0.27750070489568657,1.0
ENSG00000239332,LINC01119,0.0005025522530447388,-5.575181253536371,1.0,0.0,5.575181253536371,1.0
ENSG00000180398,MCFD2,0.1640833106191072,-0.8069969287594461,1.0,0.26088537811694446,0.8069969287594461,1.0
ENSG00000068724,TTC7A,0.04824501629229492,0.4323132830105525,1.0,0.0,-0.4323132830105525,1.0
ENSG00000233845,AC093732.1,0.0002512761265223694,-6.160143754257527,1.0,0.0,6.160143754257527,1.0
ENSG00000143933,CALM2,0.47616825975988997,0.14363699391957452,1.0,0.4099627370409127,-0.14363699391957452,1.0
ENSG00000234690,EPCAM-DT,0.0017589328856565856,-4.160143754257527,1.0,0.0,4.160143754257527,1.0
ENSG00000119888,EPCAM,0.06281903163059234,0.8113997996932438,1.0,0.0,-0.8113997996932438,1.0
ENSG00000095002,MSH2,0.022363575260490876,-2.668290657927854,1.0,0.11180801919297619,2.668290657927854,1.0
ENSG00000184261,KCNK12,0.0015076567591342162,-4.3527888321999235,1.0,0.0,4.3527888321999235,1.0
ENSG00000235760,AC138655.1,0.0002512761265223694,-6.160143754257527,1.0,0.0,6.160143754257527,1.0
ENSG00000116062,MSH6,0.031158239688773803,-1.7793219703165977,1.0,0.07453867946198413,1.7793219703165977,1.0
ENSG00000138081,FBXO11,0.03744014285183304,-1.9313250637616473,1.0,0.11180801919297619,1.9313250637616473,1.0
ENSG00000233230,AC079807.1,0.002010209012178955,-3.990218752815215,1.0,0.0,3.990218752815215,1.0
ENSG00000230773,AC092650.1,0.0010051045060894776,-4.8382156593701655,1.0,0.0,4.8382156593701655,1.0
ENSG00000170802,FOXN2,0.02387123201962509,-1.5751812535363725,1.0,0.037269339730992064,1.5751812535363725,1.0
ENSG00000272663,AC093635.1,0.0015076567591342162,-4.3527888321999235,1.0,0.0,4.3527888321999235,1.0
ENSG00000162869,PPP1R21,0.028896754550072477,-0.30216275912995627,1.0,0.0,0.30216275912995627,1.0
