Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000145740,SLC30A5,0.35501339399581283,-0.07589335642661932,1.0,0.3881386061586128,0.10505275950869764,0.965988397612812,0.3708874840370728,0.003236139464678045,1.0,0.32953505450121384,-0.160485018321759,1.0
ENSG00000134057,CCNB1,0.045674237824022704,-0.8344551793996255,0.1797008952475905,0.06945638215469914,-0.16836687351865054,0.9610976341082966,0.10900635731555544,0.9351338889551601,0.00881960778288335,0.02929200484455234,-1.1239591422966453,0.7198952532120726
ENSG00000153044,CENPH,0.031141525789106388,0.0780819793500358,1.0,0.024514017231070283,-0.4376572541603876,0.7813045854137102,0.04120972044856364,0.7162136595255175,0.2260661511629523,0.007323001211138085,-1.182852831350214,0.9034717572545967
ENSG00000134058,CDK7,0.20968627364664968,-0.42569027713631136,0.44611295326508826,0.257397180926238,-0.07379847880710644,1.0,0.3137256137374523,0.38551177113766544,0.22774666736412452,0.256305042389833,-0.03221916851666151,1.0
ENSG00000183323,CCDC125,0.2283711891201135,-0.33466006194114595,0.5961128206338938,0.2465020621568734,-0.23668381645884518,0.805632470083414,0.3429712217977232,0.5269146094631125,0.06479539362904152,0.22701303754528063,-0.26377282673378133,1.0
ENSG00000152942,RAD17,0.3114152578910639,-0.0026097854290849654,1.0,0.30506332554220794,-0.05171266640187011,1.0,0.3283484177675877,0.11319245967414049,0.8063337437640126,0.27095104481210913,-0.19332827500877658,1.0
ENSG00000152939,MARVELD2,0.08304406877095037,-1.816753177666166,4.825395929983204e-07,0.14980788307876283,-1.0066461186738027,0.00171889061459772,0.4373547750831432,1.5897670712599234,2.970469076698096e-11,0.3368580557123519,0.48721323774735925,0.8503305836985198
ENSG00000197822,OCLN,0.1017289842444142,-2.3902713344612647,2.334180993318265e-12,0.2519496215415557,-1.1044952760300228,0.00012400634130209793,0.880026933449972,2.1468993740264475,4.2206857111166954e-22,0.24898204117869488,-0.840166176296054,0.6937070709307841
ENSG00000172062,SMN1,0.012456610315642555,-0.027100257342020484,1.0,0.008171339077023427,-0.8782298455463691,0.5527055404083778,0.019940187313821117,0.9386060808619652,0.26521935818816106,0.01464600242227617,0.6171225603417927,1.0
ENSG00000249437,NAIP,1.1958345903016854,0.4543107870489953,0.2013398406502456,1.222977081861173,0.6148398841430949,0.02988991229157798,0.5875708528472623,-0.9623234060105887,7.13360944166268e-05,0.5565480920464945,-0.7983330992950085,0.6832647683630211
