Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000063241,ISOC2,0.17009590364068558,0.1988239894849304,0.7718079529614799,0.14460987475672105,-0.14340779673753,0.9395761436003851,0.15343905345618117,-0.01010886355078533,1.0
ENSG00000283567,C19orf85,0.0018488685178335387,2.530029897960304,0.6010176524534118,0.0,-0.26097739311870605,1.0,0.0,-0.22351250165997882,1.0
ENSG00000197483,ZNF628,0.038826238874504315,-0.03290629643085463,1.0,0.04186075321905083,0.0985649935684334,1.0,0.03997151812724047,-0.004872215184638762,1.0
ENSG00000090971,NAT14,0.20152666844385572,-0.07662767386017189,1.0,0.2410164579278684,0.3277667481448767,0.6317559117053335,0.18567414872008478,-0.2724221021409252,0.5592398314063272
ENSG00000179954,SSC5D,0.7506406182404167,0.8724853951042473,0.0011016475924903915,0.5188196383815693,0.09883058543974566,0.9530594455201398,0.29914168404902547,-1.0317516989771942,4.8181355905985013e-05
ENSG00000187550,SBK2,0.0036977370356670774,-0.6923625233761443,0.7376137325707985,0.011416569059741135,1.2535957797110528,0.49650536902954157,0.005157615242224577,-0.4865469074937723,0.8146672383237622
ENSG00000231274,SBK3,0.01479094814266831,0.6999548994026163,0.7058402087613047,0.010148061386436565,-0.0910523916763939,1.0,0.00902582667389301,-0.3109753429103188,0.8692465671449549
ENSG00000218891,ZNF579,0.05361718701717262,-0.1924361265107879,0.8819758021817887,0.06976792203175138,0.35655297005888054,0.7399888263878195,0.0554443638539142,-0.17347181916038323,0.8111801543852407
ENSG00000179943,FIZ1,0.10538550551651171,-0.16657795858976154,0.8755058123501507,0.11289718292410678,-0.05452651565127953,1.0,0.12636157343450213,0.20617177358326666,0.7002048224745527
ENSG00000171443,ZNF524,0.08874568885600986,-0.322865808007486,0.6661005520569561,0.11289718292410678,0.14341286196062963,0.9465606703296257,0.11217813151838454,0.12739466019914936,0.8473292818280205
ENSG00000261221,ZNF865,0.2791791461928644,-0.00011971813146938182,1.0,0.2968307955532695,0.1398061224798961,0.9182803958781527,0.2630383773534534,-0.13648943942261327,0.7904507493367815
ENSG00000179922,ZNF784,0.1146298481056794,-0.0625457868707282,1.0,0.11670270594402049,-0.043746676898036796,1.0,0.125072169623946,0.11507293718099154,0.8663591379627218
ENSG00000213015,ZNF580,0.2662370665680296,-0.21487351563054324,0.757034553377649,0.33234901040579745,0.2543796401165834,0.7104078487197124,0.28753704975402017,-0.08504256386862186,0.8974691985750413
ENSG00000171425,ZNF581,0.16824703512285202,-0.2862581488673084,0.6634365891839283,0.20803525842194956,0.13380126717633756,0.9315325542262693,0.20501520587842692,0.0984155932273838,0.8704279210794607
ENSG00000173581,CCDC106,0.2939700943355327,0.01906797868292398,1.0,0.3095158722863152,0.1403851692630611,0.9176971183826187,0.27206420402734643,-0.15380352984857448,0.7505821004908335
ENSG00000063244,U2AF2,1.0501573181294501,-0.11128856901252132,0.9133609439912181,1.0934536143885398,-0.04011656922859902,1.0,1.1759362752272036,0.12815059159757525,0.7497874426144038
ENSG00000063245,EPN1,1.2165554847344686,-0.25367634070398215,0.6260983253380695,1.2532855812249157,-0.23224777046638762,0.7132942996649481,1.6504368775118645,0.4139174189553129,0.10590127251236908
ENSG00000185792,NLRP9,0.0018488685178335387,0.5300298979603042,1.0,0.0012685076733045706,-0.26097739311870605,1.0,0.0025788076211122886,0.7764874983400212,0.8359447235089394
